ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,implied_vol,heston_v0,heston_kappa,heston_theta,heston_sigma,heston_rho,risk_free_rate
SPOT,2026-03-11,0.005479,2,565.0,1.065515,530.260009765625,1.3000008156395495,0.6692459299881931,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,567.5,1.07023,530.260009765625,0.9500012936062774,0.6488380247242915,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,570.0,1.074944,530.260009765625,1.0000003197199803,0.6887022880594834,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,572.5,1.079659,530.260009765625,0.9899993943894856,0.7181749159724616,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,575.0,1.084374,530.260009765625,0.8299990962639896,0.7192922815792235,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,577.5,1.089088,530.260009765625,4.3500000000486665,1.191926002032325,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,580.0,1.093803,530.260009765625,0.5399997690116187,0.7121152700625769,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,582.5,1.098518,530.260009765625,0.6799999978260409,0.7738875325596194,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,585.0,1.103232,530.260009765625,0.5500001540912827,0.7688841708714339,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,590.0,1.112662,530.260009765625,0.39999997050539093,0.7759934210053993,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,595.0,1.122091,530.260009765625,0.7000009418050794,0.9147551533058834,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,600.0,1.13152,530.260009765625,0.1300000004798525,0.7396150396424497,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,605.0,1.14095,530.260009765625,0.11000004698907428,0.7654585064190311,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,610.0,1.150379,530.260009765625,0.2900000005267156,0.922552172817504,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,615.0,1.159808,530.260009765625,0.16000012073338965,0.8892736465918168,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,620.0,1.169238,530.260009765625,0.04000000051162411,0.7914388672708168,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,625.0,1.178667,530.260009765625,2.0599999979603822,1.5161757549224473,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,630.0,1.188096,530.260009765625,0.19999999486288367,1.0425098277545148,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,635.0,1.197526,530.260009765625,0.49999995444282774,1.2394136731158525,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,640.0,1.206955,530.260009765625,0.1100002008439338,1.0422005296929449,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,650.0,1.225814,530.260009765625,0.049999973550626464,1.0241778973418898,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,655.0,1.235243,530.260009765625,0.34000000047580237,1.3342444217460445,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,660.0,1.244672,530.260009765625,0.05999999286137925,1.112824889308215,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,670.0,1.263531,530.260009765625,0.089999998431602,1.2324654308204195,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.005479,2,755.0,1.42383,530.260009765625,0.09000000742651926,1.7715837795042726,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,270.0,0.509184,530.260009765625,260.6026813701644,1.3066839527563223,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,280.0,0.528043,530.260009765625,250.61500253113485,1.2397713821060383,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,290.0,0.546902,530.260009765625,240.7173236868917,1.4376615771920747,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,300.0,0.56576,530.260009765625,230.65964492499268,1.2157483669924531,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,310.0,0.584619,530.260009765625,220.7919660456322,1.3478043757285088,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,320.0,0.603478,530.260009765625,211.20428721682498,1.5025167627187375,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,330.0,0.622336,530.260009765625,200.67660838518754,0.9362977445498939,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,340.0,0.641195,530.260009765625,190.7189295553319,0.990122214116308,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,350.0,0.660054,530.260009765625,180.73125066283006,0.9302489426883197,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,360.0,0.678912,530.260009765625,170.74357186424407,0.8718925144329958,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,370.0,0.697771,530.260009765625,160.83589316293785,0.9132156750299135,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,380.0,0.71663,530.260009765625,151.0282142304236,0.9545791757318046,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,390.0,0.735488,530.260009765625,140.96053532322327,0.8526816916233717,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,400.0,0.754347,530.260009765625,130.9028567611403,0.7528270272710473,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,410.0,0.773206,530.260009765625,121.01517774907308,0.7413494034058326,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,420.0,0.792064,530.260009765625,111.07749887330698,0.6978553627760634,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,425.0,0.801494,530.260009765625,106.15365954057125,0.688010940160012,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,430.0,0.810923,530.260009765625,101.19981994229988,0.667101639202463,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
SPOT,2026-03-11,0.024658,9,435.0,0.820352,530.260009765625,96.3959798592764,0.6765865372799263,0.6858306806256462,10.0,0.19816636006053978,2.0,-0.4803916419883498,0.05
