Date,DIS,NFLX,SPOT
2021-08-30,6421300,24348000,1059300
2021-08-31,8620000,24319000,1216700
2021-09-01,7302800,56262000,811000
2021-09-02,6492600,61799000,3946000
2021-09-03,6847400,26812000,1187900
2021-09-07,10702900,58214000,1865200
2021-09-08,8634000,54245000,1043100
2021-09-09,7190700,29542000,926100
2021-09-10,5572200,39508000,1515100
2021-09-13,6818200,30629000,1215300
2021-09-14,6185900,34570000,814900
2021-09-15,5933400,27556000,766500
2021-09-16,5678200,18320000,846100
2021-09-17,10035100,41451000,1129800
2021-09-20,8056600,37322000,1357500
2021-09-21,23216000,22509000,884200
2021-09-22,14214500,40218000,906600
2021-09-23,8052900,25262000,942900
2021-09-24,5712800,21262000,1102900
2021-09-27,7755000,25047000,818800
2021-09-28,9133100,44311000,1392300
2021-09-29,6240800,62210000,1071100
2021-09-30,13978000,66126000,1050200
2021-10-01,12165000,40908000,898200
2021-10-04,7200600,49959000,1145300
2021-10-05,6798200,95343000,647900
2021-10-06,6005200,45804000,1036800
2021-10-07,7780000,35569000,661700
2021-10-08,4132200,32721000,625100
2021-10-11,8046300,28625000,647300
2021-10-12,5188400,32273000,651400
2021-10-13,8914700,24203000,1216100
2021-10-14,7450200,26717000,858500
2021-10-15,13943900,41169000,813300
2021-10-18,20494800,46691000,763500
2021-10-19,9669500,76331000,1056000
2021-10-20,9737600,106220000,736700
2021-10-21,7509000,84371000,1093500
2021-10-22,7854300,61860000,988000
2021-10-25,9798700,38335000,1009600
2021-10-26,5850200,29048000,1672600
2021-10-27,7054700,22769000,3958200
2021-10-28,7884500,28594000,3414400
2021-10-29,7598800,38253000,1604400
2021-11-01,8182900,31109000,2386000
2021-11-02,6777200,38886000,1315100
2021-11-03,6829300,23349000,1223700
2021-11-04,7505500,48650000,1137000
2021-11-05,16859200,52835000,1261100
2021-11-08,10584600,28875000,2077200
2021-11-09,7293300,24156000,1586200
2021-11-10,11045800,24058000,1367900
2021-11-11,62366500,28683000,1262800
