date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
4/1/2025,DIS,4/17/2025,100,Put,3.25,3.5,0.2578,-0.6523,0.0728,-0.0535,0.075,-0.0216
4/1/2025,DIS,4/17/2025,102,Call,0.63,0.77,0.2591,0.2325,0.0576,-0.0538,0.0624,0.0096
4/1/2025,DIS,4/17/2025,102,Put,4.7,5.05,0.2629,-0.7769,0.0597,-0.0423,0.0624,-0.0225
4/1/2025,DIS,4/17/2025,104,Call,0.35,0.4,0.2617,0.1407,0.0417,-0.0393,0.0456,0.0058
4/1/2025,DIS,4/17/2025,104,Put,6.4,6.7,0.2613,-0.8777,0.0446,-0.0265,0.0412,-0.0198
4/1/2025,DIS,4/17/2025,105,Call,0.25,0.29,0.2634,0.1068,0.0341,-0.0324,0.0376,0.0044
4/1/2025,DIS,4/17/2025,105,Put,7.3,7.6,0.2597,-0.9177,0.037,-0.0186,0.0318,-0.0167
4/1/2025,DIS,4/17/2025,107,Call,0.14,0.18,0.2768,0.066,0.0226,-0.0236,0.0262,0.0027
4/1/2025,DIS,4/17/2025,107,Put,8.95,9.6,0.2768,-0.9576,0.0254,-0.0107,0.0191,-0.0116
4/1/2025,DIS,4/17/2025,110,Call,0.07,0.16,0.3201,0.0439,0.0142,-0.0196,0.019,0.0018
4/1/2025,DIS,4/17/2025,110,Put,12.1,12.55,0.3201,-0.979,0.0165,-0.0066,0.0108,-0.0075
4/1/2025,DIS,4/17/2025,111,Call,0.01,0.14,0.3528,0.048,0.0138,-0.0231,0.0204,0.0019
4/1/2025,DIS,4/17/2025,111,Put,12.2,13.55,0.3528,-0.9719,0.0156,-0.01,0.0138,-0.0099
4/1/2025,DIS,4/17/2025,115,Call,0.03,0.05,0.3762,0.0224,0.0069,-0.0131,0.0109,0.0009
4/1/2025,DIS,4/17/2025,115,Put,17.1,17.55,0.3762,-0.9986,0.0038,0,0.0005,0
